Eredmény,Szél,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
26.87,-0.2,87,302,Könyves Kitti,4,VEDAC,F2,Veszprém (HUN),2021.6.09
26.87,-0.2,-,302,Grubits Liliána,4,ARAK,H6,Szekszárd (HUN),2021.8.08
26.88,+0.4,-,304,Bathó Borbála,1,BHSE,F6,Budapest (HUN),2021.5.22
26.88,+1.6,88,304,Varga Eszter,0,Haladás VSE,H2,Győr (HUN),2021.5.29
26.88,-1.4,-,304,Ritter Lola,5,ARAK,F2,Veszprém (HUN),2021.7.28
26.89,+0.3,-,307,Besenyődi Petra,6,SVSE,F7,Budapest (HUN),2021.5.22
26.89,+1.1,89,307,Nagy Boglárka,0,FTC,H3,Miskolc (HUN),2021.6.13
26.93,+0.3,90,309,István-Elek Anna,4,BHSE,F5,Veszprém (HUN),2021.6.09
26.95,+0.3,-,310,Besenyődi Petra,6,SVSE,F3,Veszprém (HUN),2021.8.18
26.96,-0.4,-,311,Hornyik Anna,3,BEAC,F1,Budapest (HUN),2021.9.26
26.97,+0.8,-,312,Hornyik Anna,3,BEAC,F1,Szolnok (HUN),2021.8.29
26.98,-2.0,-,313,Maszárovits Lili,3,VSD,F3,Debrecen (HUN),2021.5.16
26.98,0.0,-,313,Ritter Lola,5,ARAK,F1,Budapest (HUN),2021.9.26
27.01,+0.7,-,315,Varga Eszter,0,Haladás VSE,F2,Győr (HUN),2021.5.16
27.02,+1.1,91,316,Stikkel Lili,5,KSI SE,CE3,Győr (HUN),2021.7.03
27.02,+0.3,91,316,Horváthné Nyeste Ágnes,97,Békési DAC,F3,Veszprém (HUN),2021.8.18
27.04,+0.5,-,318,Nagy Boglárka,0,FTC,F5,Budapest (HUN),2021.5.22
27.06,-1.4,-,319,Joó Dóra,5,FTC,F2,Veszprém (HUN),2021.7.28
27.07,+0.8,-,320,Éva Viktória,5,DOVASE,F1,Pécs (HUN),2021.6.18
27.07,+0.2,93,320,Vasvári Boglárka,5,NYSC,F1,Nyíregyháza (HUN),2021.6.25
27.1,-0.7,94,322,Felber Kata,7,SVSE,F6,Veszprém (HUN),2021.6.06
27.1,+0.8,94,322,Weiner Anna,4,MTK Budapest,F7,Veszprém (HUN),2021.6.09
27.13,0.0,-,324,Nagy Boglárka,0,FTC,F5,Veszprém (HUN),2021.6.06
27.13,+0.4,96,324,Szécsényi Anna,2,A-Plast Ikarus BSE,H3,Miskolc (HUN),2021.6.13
27.16,+1.5,97,326,Tóth Barbara,4,MTK Budapest,F6,Veszprém (HUN),2021.6.09
27.19,+0.4,-,327,Hanzlik Éva,4,Győri Atlétikai Club,F6,Budapest (HUN),2021.5.22
27.19,+0.3,-,327,Könyves Kitti,4,VEDAC,H3,Szekszárd (HUN),2021.8.08
27.2,-0.3,-,329,Könyves Kitti,4,VEDAC,F2,Székesfehérvár (HUN),2021.6.19
27.21,+1.9,-,330,Varga Eszter,0,Haladás VSE,F,Győr (HUN),2021.5.29
27.21,+1.0,98,330,György Panna,2,Vasas,H2,Miskolc (HUN),2021.6.13
